Richness,plot,Order,SPEI_mean,Driest,NBE,NIIE,NIIE.Syn,NIIE.SpVar,NIDE,NIDE.SpVar,NIDE.Syn
16,B3A24,9,-0.23300125,-1.2581535,-0.125961996,-0.102965443,-0.149140376,0.038779932,-0.165515617,-0.53160633,0.556102426
16,B3A24,10,-0.753896933,-1.549352083,-0.21155523,0.035956324,0.036050972,0.01262938,-0.704086329,-0.478843515,-0.314153422
16,B3A24,11,-0.66072695,-1.549352083,-0.072516598,0.061503017,0.038348878,0.054681824,-0.418851258,-0.411638662,0.026507595
16,B3A24,12,-0.659007883,-1.549352083,-0.047079108,0.100198701,0.065775101,0.082579507,-0.434127113,-0.331615971,-0.07815205
16,B3A24,13,-0.63677245,-1.549352083,0.035382518,0.165036931,0.172928258,0.041845286,-0.373174445,-0.301674763,-0.025680638
16,B3A24,14,-0.40832675,-1.549352083,0.150194459,0.170192503,0.15968677,0.065844059,-0.154497493,-0.290916316,0.238597102
16,B3A24,15,-0.071427333,-0.440715583,0.110249967,0.063076445,0.086685707,-0.027191413,0.040042993,-0.148787538,0.264030709
16,B4A02,1,0.518395017,-0.623814083,-0.040576343,0.042287398,0.030491194,0.036942294,-0.093221349,0.12646212,-0.108288008
16,B4A02,2,0.481813883,-0.623814083,-0.023033914,0.195108652,0.195867549,0.048539604,-0.2895587,-0.255374124,-0.125248796
16,B4A02,3,0.201212317,-0.623814083,0.116743092,0.006101129,-0.034063923,0.087829808,0.121809118,0.016521644,0.062694535
16,B4A02,4,0.1530159,-0.623814083,-0.017293884,-0.051535003,-0.054024037,0.014995931,-0.025047027,-0.040557456,-0.009562314
16,B4A02,5,0.469598267,-0.623814083,-0.03743182,-0.113906272,-0.102646287,-0.039076135,0.09693371,0.116585077,-0.010494195
16,B4A02,6,0.484303917,-0.550285833,-0.160228484,0.013104833,0.047083232,-0.026006646,-0.476960481,-0.306630393,-0.229508749
16,B4A02,7,0.102059667,-0.550285833,-0.154519061,-0.082258734,-0.054297102,-0.069133277,-0.313994855,0.037266576,-0.276692401
16,B4A02,8,0.1212659,-0.550285833,-0.20143909,-0.110330717,-0.127039415,-0.018656112,-0.402740519,0.159977953,-0.400523176
16,B4A02,9,-0.23300125,-1.2581535,-0.210939612,0.10375405,0.099859094,0.045379557,-0.745361648,-0.010603289,-0.615902451
16,B4A02,10,-0.753896933,-1.549352083,-0.152696196,0.179993435,0.249468098,-0.018117326,-0.714364614,-0.115384623,-0.552127014
16,B4A02,11,-0.66072695,-1.549352083,-0.150750878,0.146498784,0.219441601,-0.035711133,-0.699023642,0.167904251,-0.632891754
16,B4A02,12,-0.659007883,-1.549352083,-0.163127976,0.191646875,0.260879505,-0.016743649,-0.776271676,0.043336846,-0.662125191
16,B4A02,13,-0.63677245,-1.549352083,-0.119276,0.046642865,0.169355174,-0.142592329,-0.525056607,0.190061987,-0.511808653
16,B4A02,14,-0.40832675,-1.549352083,-0.100293152,0.058493304,0.15232312,-0.110123257,-0.504015077,0.020395869,-0.416982466
16,B4A02,15,-0.071427333,-0.440715583,0.005369945,0.043211611,0.071250098,-0.044461797,-0.18429995,-0.091927072,-0.030467522
16,B4A18,1,0.518395017,-0.623814083,-0.299637639,0.085479114,0.123440164,-0.01494699,-0.456269993,-0.05573123,-0.305918202
16,B4A18,2,0.481813883,-0.623814083,-0.154997253,0.261339043,0.258581407,0.057422031,-0.488432861,-0.219579368,-0.31371114
16,B4A18,3,0.201212317,-0.623814083,-0.015251834,0.023226024,-0.015674717,0.08768952,-0.140509844,0.043510215,-0.145040512
16,B4A18,4,0.1530159,-0.623814083,0.169536405,0.141744655,0.094470414,0.113365387,-0.03324558,0.018559636,-0.051997593
16,B4A18,5,0.469598267,-0.623814083,0.190936301,0.070389727,0.054770768,0.060591807,0.127466771,-0.122525076,0.192984723
16,B4A18,6,0.484303917,-0.550285833,0.35398199,-0.222272836,-0.285322966,0.060169284,2.413416479,0.359918388,1.314763221
16,B4A18,7,0.102059667,-0.550285833,0.154155712,-0.170612751,-0.21774064,0.026284287,1.164925012,0.509770719,0.410001352
16,B4A18,8,0.1212659,-0.550285833,-0.117382455,-0.291750545,-0.356004979,-0.05870377,1.462713648,0.364254392,0.728654843
16,B4A18,9,-0.23300125,-1.2581535,-0.109824266,-0.062553918,-0.054864174,-0.042793252,-0.236310159,0.54284997,-0.427929484
16,B4A18,10,-0.753896933,-1.549352083,-0.204121372,-0.025781861,0.00473326,-0.062996918,-0.603146132,0.265138724,-0.585825192
16,B4A18,11,-0.66072695,-1.549352083,-0.207014702,-0.042737269,-0.003691773,-0.093026386,-0.597613309,0.172634642,-0.557394665
16,B4A18,12,-0.659007883,-1.549352083,-0.213226007,-0.055451147,-0.031697351,-0.087244071,-0.606786206,-0.180751447,-0.404823757
16,B4A18,13,-0.63677245,-1.549352083,0.471347625,-0.05539159,-0.061474707,-0.045423895,1.832651476,0.353952219,1.025737365
16,B4A18,14,-0.40832675,-1.549352083,0.622023685,-0.068972848,-0.091042305,-0.033575644,2.680186748,0.617105898,1.209522033
16,B4A18,15,-0.071427333,-0.440715583,0.79907015,-0.081555152,-0.147842182,0.051282288,3.789815732,0.899722878,1.450319803
16,B4A20,1,0.518395017,-0.623814083,-0.263576529,-0.084805399,-0.061521446,-0.018892968,-0.301097026,-0.080495535,-0.190164566
16,B4A20,2,0.481813883,-0.623814083,-0.143283848,0.078026963,0.091666015,0.021435235,-0.357096771,-0.227092048,-0.197479302
16,B4A20,3,0.201212317,-0.623814083,0.075062192,-0.078355957,-0.129774742,0.098067514,0.229901551,0.018814978,0.14169482
16,B4A20,4,0.1530159,-0.623814083,0.121215471,0.027148289,-0.011927042,0.088852793,0.087352204,-0.162215518,0.176783064
16,B4A20,5,0.469598267,-0.623814083,-0.121629766,-0.082423174,-0.138671063,0.098713027,-0.208783323,0.022062656,-0.187813106
