block,plot,n,Order,T_mean,SPEI_mean,P_mean,Driest,miu_mix,miu_mono,evenness_mix,evenness_mono,CorS_mono,cov.mono,NBE.F,SE,CE,CV.mix,CV.mono,CV.avg,CVS.mix,CVS.mono,phi.mix,phi.mono,AE.SpVar,SE.SpVar,AE.Syn,SE.Syn,Richness,NIIE,NIDE,NBE,NIDE.SpVar,NIDE.Syn,NIIE.Syn,NIIE.SpVar
B1,B1A03,5,5,9.507727826,0.469598267,593.18,-0.623814083,263.682,47.5890875,0.608240755,0.879745688,0.323989981,-0.12522433,5.540808069,1.106982299,3.433825769,0.582542077,0.501796735,0.779276961,0.807911585,0.768751495,0.721046818,0.652742451,-0.063761961,0.114701817,0.209984411,0.010249846,8,0.64392605,1.160912451,0.747541769,1.050939855,1.10464214,0.652742451,0.986493293
B1,B1A03,5,6,9.336048779,0.484303917,549.74,-0.550285833,193.227,39.45265,0.819061356,0.821907941,-0.030315657,0.641309924,4.897693817,-1.023166381,4.920860199,0.269523779,0.443238257,0.692124692,0.895517042,0.757145412,0.300970017,0.585407044,0.168039095,0.014715272,-0.468359482,-0.267320182,8,0.640402318,0.608078781,0.389415061,1.182754367,0.514120935,0.585407044,1.09394365
B1,B1A03,5,7,9.195238759,0.102059667,540.84,-0.550285833,225.5373333,46.62375,0.893900127,0.847198701,0.020643347,-0.484103018,4.83739153,-0.569232478,4.406624008,0.487866102,0.329958178,0.787253429,0.950223774,0.745720689,0.513422328,0.442468853,0.18296257,0.091272928,0.573970032,-0.227539057,8,0.419125743,1.478569511,0.619706544,1.274235498,1.160358123,0.442468853,0.947243495
B1,B1A03,5,8,9.413262924,0.1212659,533.94,-0.550285833,213.7204,42.58810625,0.87249374,0.905009403,0.048530051,0.485401863,5.018311891,0.341889732,3.676422159,0.513636406,0.281258463,0.804411758,0.743724675,0.850002126,0.690627087,0.330891481,-0.12114582,-0.003886164,2.548235645,0.808046926,8,0.349644893,1.826207825,0.638524239,0.874968016,2.087170949,0.330891481,1.056675413
B1,B1A03,5,9,9.874044512,-0.23300125,489.06,-1.2581535,199.2804,34.44128125,0.842194177,0.887367071,-0.084890323,1.412651511,5.786091364,0.4240027,4.362088664,0.610878964,0.527364627,0.810853351,0.72634505,0.974918271,0.841031358,0.54093214,-0.242980967,-0.011987299,1.453280522,-0.035934587,8,0.65038225,1.158361658,0.753377861,0.745031734,1.554781636,0.54093214,1.202336118
B1,B1A03,5,10,9.902422496,-0.753896933,465.3,-1.549352083,181.5964,30.47403125,0.842161624,0.877513175,0.04924237,1.294823592,5.959054072,0.295662838,4.663391234,0.764962518,0.726872038,0.952986608,0.865538147,1.122944246,0.883799889,0.647291297,-0.250827107,0.021602815,0.970731667,-0.106463649,8,0.76273059,1.052403282,0.802700176,0.770775709,1.365382005,0.647291297,1.178342105
B1,B1A03,5,11,10.07977113,-0.66072695,479.18,-1.549352083,161.2184,26.81028125,0.816759218,0.878203996,0.113709256,0.221538205,6.013305064,-0.55566635,5.568971414,0.918339086,0.838604433,1.217055745,0.994881082,1.250108469,0.923064176,0.670825335,-0.459206294,0.255042101,0.886457893,0.006953037,8,0.689043568,1.095080172,0.754557949,0.795835807,1.376012692,0.670825335,1.027157937
B1,B1A03,5,12,10.40158828,-0.659007883,433.66,-1.549352083,104.3064,16.53653125,0.714222304,0.760371836,-0.055034731,0.150575664,6.307634801,-82.17779817,87.48543297,0.544101213,0.965692664,1.318569148,0.92433571,1.354991699,0.588640261,0.712692679,-0.600231931,0.282402686,0.248359068,-0.566184805,8,0.732379235,0.563431031,0.412645187,0.682170755,0.825938414,0.712692679,1.027622784
B1,B1A03,5,13,10.44274379,-0.63677245,405.7,-1.549352083,68.195,9.665925,0.566201872,0.806512469,0.054700971,-0.69104115,7.055196476,-73.3039526,79.35914907,0.626279347,0.50213135,1.103306705,1.050165248,0.817336702,0.596362666,0.614350669,-0.965434956,1.250297418,-0.04101797,-0.016684128,8,0.455114926,1.247242076,0.567638485,1.284862463,0.9707203,0.614350669,0.740806431
B1,B1A03,5,14,10.50580274,-0.40832675,433.38,-1.549352083,50.816,8.873275,0.487248749,0.835207711,-0.052456013,-0.46048481,5.726859587,-14.6762234,19.40308299,0.928566751,0.596648361,1.176387738,1.249516956,0.968804941,0.743140577,0.615860154,-0.703864869,0.993615677,0.222654199,0.23340066,8,0.507186824,1.556304874,0.789337326,1.289750808,1.206670982,0.615860154,0.823542196
B1,B1A03,5,15,10.3969538,-0.071427333,478.2,-0.440715583,44.621,11.715275,0.507668286,0.904350853,-0.009408183,-0.183172399,3.808788099,-3.763877318,6.572665418,1.122622614,0.605700943,1.089562111,1.457203779,1.027020719,0.770395074,0.589765066,0.134141314,0.284723711,-0.233210771,0.939563873,8,0.555912267,1.85342722,1.030342927,1.418865026,1.306274513,0.589765066,0.942599517
B1,B1A06,12,1,9.781826021,0.518395017,524.6,-0.623814083,462.0445355,247.3264,0.644373177,0.976496583,0.524394268,-0.136530933,1.86815696,0.189333525,0.678823435,0.550120791,0.37813481,0.520453143,0.72394925,0.514380842,0.759888612,0.735126154,0.096535183,0.310883583,-0.38126645,0.44977038,16,0.726549191,1.454827158,1.057003495,1.407418767,1.033684637,0.735126154,0.988332666
B1,B1A06,12,2,9.743528589,0.481813883,543.3,-0.623814083,345.4912022,194.8311031,0.65648995,0.970798515,0.760532256,-0.412998292,1.773285665,-0.040720592,0.814006257,0.562508112,0.489623591,0.579690361,0.875299275,0.556372825,0.642646611,0.880027867,0.439754368,0.13346998,-0.594553686,0.127829139,16,0.844629519,1.148858272,0.97035961,1.573224348,0.730257114,0.880027867,0.959775878
B1,B1A06,12,3,9.733660157,0.201212317,553.4,-0.623814083,253.5099333,138.2803531,0.707425534,0.961956181,0.522220437,-0.627501923,1.833304064,-0.003334808,0.836638872,0.313734749,0.409658839,0.595987785,0.936725498,0.546070924,0.334927094,0.750193465,0.884711726,-0.169320085,-0.631314126,-0.169364437,16,0.687361132,0.765843965,0.526411375,1.715391641,0.446454295,0.750193465,0.916245161
B1,B1A06,12,4,9.519113581,0.1530159,594.28,-0.623814083,240.3552667,119.4148844,0.74725904,0.959496931,0.534374237,-0.72807912,2.012774772,0.124929145,0.887845627,0.375066167,0.490291289,0.707619433,1.032672856,0.640551828,0.363199405,0.765420171,0.793677294,-0.18151601,-0.575621975,-0.199218434,16,0.692874258,0.764986398,0.530039383,1.612161283,0.474509843,0.765420171,0.905220798
B1,B1A06,12,5,9.507727826,0.469598267,593.18,-0.623814083,215.1622667,100.0141406,0.781945616,0.946232419,0.367589307,-0.551220289,2.151318457,-0.035999455,1.187317912,0.497120308,0.454779885,0.720077957,1.114225797,0.659452298,0.446157601,0.689632725,0.84543144,-0.155808399,-0.687957877,0.106501634,16,0.631570347,1.093100915,0.690370124,1.689623041,0.646949579,0.689632725,0.915806812
B1,B1A06,12,6,9.336048779,0.484303917,549.74,-0.550285833,154.7913333,92.28682813,0.732495028,0.910180295,0.046662639,-0.374689971,1.677285226,-0.186943713,0.864228939,0.337775445,0.311433565,0.732441976,0.685385677,0.687781326,0.492825363,0.452808986,-0.070404499,0.066921343,0.490038182,-0.305481011,16,0.425198958,1.084582661,0.461163418,0.996516844,1.088373636,0.452808986,0.939025
B1,B1A06,12,7,9.195238759,0.102059667,540.84,-0.550285833,134.1211667,90.28945625,0.666901517,0.891636917,0.069181591,-0.479130592,1.485457685,-0.28190811,0.767365795,0.357698777,0.326993525,0.655939596,0.626391269,0.597566928,0.571046875,0.547208204,-0.252960405,0.301196578,0.61701937,-0.527993194,16,0.498511642,1.093901711,0.545322739,1.048236172,1.04356417,0.547208204,0.911009079
B1,B1A06,12,8,9.413262924,0.1212659,533.94,-0.550285833,125.2358,103.4539474,0.649021869,0.863226357,-0.024682057,-1.236965692,1.210546365,-0.955709202,1.166255567,0.26403217,0.30053703,0.724131343,0.682139184,0.592607869,0.387064951,0.507143165,-0.272728793,0.423808991,0.079813414,-0.49729918,16,0.415031103,0.878534567,0.36461917,1.151080199,0.763226201,0.507143165,0.818370692
B1,B1A06,12,9,9.874044512,-0.23300125,489.06,-1.2581535,127.9833,102.5973224,0.710414397,0.832261531,-0.015403279,-1.792640902,1.247433139,-3.560244446,3.807677585,0.288673724,0.31234446,0.74525653,0.701151199,0.553058045,0.411713942,0.564758912,0.272335326,-0.004563877,0.010794732,-0.47934161,16,0.419109994,0.924215926,0.387348132,1.267771449,0.729008314,0.564758912,0.742104259
B1,B1A06,12,10,9.902422496,-0.753896933,465.3,-1.549352083,130.5373,98.08125994,0.738214639,0.825013353,0.011683628,-2.735303778,1.330909698,-1.57049033,1.901400028,0.27584139,0.364739255,0.922387753,0.670249598,0.615618227,0.411550251,0.592476374,0.064311351,0.024430938,0.038395219,-0.555888163,16,0.395429421,0.756270094,0.299051445,1.088742289,0.694627279,0.592476374,0.667418041
B1,B1A06,12,11,10.07977113,-0.66072695,479.18,-1.549352083,139.8803,89.52363494,0.711058402,0.833584692,-0.001403924,-1.885784553,1.56249576,-0.863945892,1.426441652,0.205562011,0.300610178,0.853084781,0.542202756,0.621373568,0.379123877,0.483783336,-0.097412386,-0.030000198,0.333554469,-0.719424257,16,0.352380191,0.683815872,0.240963167,0.872587416,0.783664605,0.483783336,0.728384308
B1,B1A06,12,12,10.40158828,-0.659007883,433.66,-1.549352083,147.1378,83.71586619,0.728718229,0.815900493,0.038149252,-1.357503868,1.757585589,-3.461390685,4.218976274,0.133752523,0.391175094,0.852311535,0.526307667,0.673939821,0.254133715,0.580430303,-0.176382712,-0.04267565,-0.436339949,-0.371959035,16,0.458957879,0.341924945,0.156929148,0.780941638,0.437836746,0.580430303,0.790720052
B1,B1A06,12,13,10.44274379,-0.63677245,405.7,-1.549352083,143.8145,69.9678125,0.738899832,0.832569451,0.060242906,-1.579763652,2.055437992,-1.206447376,2.261885367,0.124432756,0.261544281,0.805902764,0.516105389,0.557539987,0.241099509,0.469104077,-0.25295028,0.178633461,-0.417026885,-0.318820912,16,0.324535779,0.475761716,0.154401699,0.925683181,0.513957394,0.469104077,0.691820418
